
1664692033.dat<>【悲報】 中国総領事館「ウクライナ問題から学ぶべき教訓。弱者が強者に喧嘩を売るな」(ｷﾘｯ)→  [541495517] (41)
1664521074.dat<>【悲報】最近の若者「なんでロックが反抗の象徴なんですか？楽器を買えるお金持ちの音楽ですよね？」  [581480879] (832)
1664681047.dat<>両足がない女の子のお風呂の入り方  [838442844] (124)
1664689683.dat<>在日ウクライナ人ナザレンコさん、動員回避のため外国に逃げるロシア人を批判「ちゃんと動員されて死んでもらいましょう！」  [357222248] (171)
1664660403.dat<>【疑問】なぜ女はオカマタレントが好きなのか？  [298194473] (73)
1664688812.dat<>共産党支持だったのにAVやエロ漫画を規制されるのが怖くて自民支持に鞍替えするオタクが続出中w  [352992134] (228)
1664671930.dat<>【動画】自動運転で｢ドリフト走行｣が可能に。ステアリング、ブレーキングまで全てを完全制御して見事なドリフトを実現  [738130642] (50)
1664691896.dat<>ガチでクズが多い名前  [633829778] (57)
1664702117.dat<>ワイヤレスイヤホン界隈、アップルvsボーズvsソニーの三つ巴の戦いに突入し本スレ戦争状態。で、素人はどれを買えばいいんだ？  [903775116] (282)
1664705350.dat<>アキラメロン！  [382163275] (7)
1664699273.dat<>任天堂「マリオ！」セガ「ソニック！」 ソニー「……！！」  [757453285] (204)
1664705064.dat<>カッパ寿司社長、手下のカッパを使い秘密データ送信  [697453962] (19)
1664683322.dat<>【悲報】アメコミ業界「日本の漫画はポリコレ無視してるから売れるの当然！ルールを守れ卑怯者！」  [633829778] (780)
1664690139.dat<>【悲報】笑い飯・哲夫「死んだ安倍さんを批判する人は日本人とは思えない。外国人かな？」  [511335184] (417)
1664693031.dat<>アメリカってもう「お手本の国」としては終わってるよな  [782112767] (30)
1664614970.dat<>紀藤弁護士、れいわ・山本太郎を批判　「マルチ業者と同じ言い分をすべきではない」  [593776499] (193)
1664701962.dat<>ウクライナ第92機械化旅団、ドローン購入のためクラウドファンディング開始  [427211404] (9)
1664696251.dat<>【悲報】ウクライナがロシア領土に侵攻。核ミサイル発射待ったなし。でも、何処に落とすんだ？キエフには落とせないし  [807233202] (74)
1664683774.dat<>【悲報】高所得者「国に1000万払っている人と30万払っている人が平等に暮らすなんてありえないと思いませんか？」  [633829778] (455)
1664694961.dat<>「嘘」で真っ先に思い付く人物  [769327952] (57)
1664540171.dat<>今期アニメ総合  [323865152] (201)
1664688072.dat<>Q. ロシアは戦死者数を偽っていると言われていますが？ A. そんな事はどうでもいい！召集令状が届いたから出頭前に飲みまくるぞ！  [206389542] (25)
1664701755.dat<>クリミア最大のロシア空軍基地で戦闘機が離陸失敗で大規模な爆発！兵の質低下がヤバイと話題に  [547879162] (69)
1664703523.dat<>デリヘル呼んでユーミン来たらどうすんの？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？  [776622462] (35)
1664693965.dat<>NATO「ウクライナ？誰が入れてやるかよ。ついでに、フィンランドとスウェーデンも入れない」  [805596214] (12)
1664695016.dat<>「SPY×FAMILY」今週のアーニャます  [399583221] (34)
1664679901.dat<>【訃報】『岸田教団&THE明星ロケッツ』、政治と無関係なロックバンドなのにバカ左翼にタグ汚染されて終わる  [206389542] (249)
1664704339.dat<>(ヽ°ん°)「LGBTまんダム！」水星の魔女放送終了後&#128073;（ヽ’ん’）「あれ…？百合の匂いがするぶひ」  [858860497] (17)
